"Program","Code"
"Urban Studies/Affairs.","4512"
"Biology Technician/Biotechnology Laboratory Technician.","4101"
"Germanic Languages, Literatures, and Linguistics.","1605"
"Real Estate Development.","0410"
"Historic Preservation and Conservation.","3012"
"Genetics.","2608"
"Geography and Cartography.","4507"
"Science Technologies/Technicians, Other.","4199"
"Ground Transportation.","4902"
"Radiology Residency/Fellowship Programs.","6126"
"Forestry.","0305"
"Outdoor Education.","3106"
"Construction Trades, General.","4600"
"Military Technologies and Applied Sciences, Other.","2999"
"Education, General.","1301"
"Materials Engineering","1418"
"Natural Resources Conservation and Research.","0301"
"Precision Metal Working.","4805"
"Mechanics and Repairers, General.","4700"
"Religious Education.","3904"
"Naval Architecture and Marine Engineering.","1422"
"Holocaust and Related Studies.","3021"
"Ocean Engineering.","1424"
"Cognitive Psychology and Psycholinguistics.","4203"
"Biomedical/Medical Engineering.","1405"
"Cognitive Science.","3025"
"Educational Assessment, Evaluation, and Research.","1306"
"Advanced/Graduate Dentistry and Oral Sciences.","5105"
"Mental and Social Health Services and Allied Professions.","5115"
"History.","5401"
"Atmospheric Sciences and Meteorology.","4004"
"Environmental/Environmental Health Engineering.","1414"
"Electrical/Electronics Maintenance and Repair Technology.","4701"
"Homeland Security.","4303"
"Real Estate.","5215"
"Religious/Sacred Music.","3905"
"Maritime Studies.","3029"
"Alternative and Complementary Medical Support Services.","5134"
"Civil Engineering.","1408"
"Metallurgical Engineering.","1420"
"Zoology/Animal Biology.","2607"
"Dispute Resolution.","3028"
"Nuclear and Industrial Radiologic Technologies/Technicians.","4102"
"Leatherworking and Upholstery.","4803"
"Social and Philosophical Foundations of Education.","1309"
"Army ROTC, Military Science and Operations.","2803"
"Applied Mathematics.","2703"
"Pharmacy, Pharmaceutical Sciences, and Administration.","5120"
"Physical Science Technologies/Technicians.","4103"
"Medical Illustration and Informatics.","5127"
"Construction Management.","5220"
"Precision Production Trades, General.","4800"
"Agriculture, Agriculture Operations, and Related Sciences, Other.","0199"
"Fine and Studio Arts.","5007"
"Agricultural and Domestic Animal Services.","0105"
"Intelligence, Command Control and Information Operations.","2902"
"Biological/Biosystems Engineering.","1445"
"Mining and Petroleum Technologies/Technicians.","1509"
"Natural Resources and Conservation, Other.","0399"
"Botany/Plant Biology.","2603"
"Library and Archives Assisting.","2503"
"Podiatric Medicine/Podiatry.","5121"
"Military Applied Sciences.","2903"
"Neuroscience.","3024"
"Chemistry.","4005"
"Pharmacology and Toxicology.","2610"
"Ecology, Evolution, Systematics, and Population Biology.","2613"
"Aerospace, Aeronautical and Astronautical Engineering.","1402"
"Parks, Recreation and Leisure Facilities Management.","3103"
"Engineering Physics.","1412"
